



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:05:58 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-80 (degC) ,BATT.I-1 (volt) ,STV.H-1:-4 (degC) ,SRAD.I-1 (watt) ,ETIL.I-1 (volt) ,ETIB.I-1 (volt) ,
2015,1994-10-01,00:00,    0.00,    15.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.76,    22.3,  326.30,    4.78,   12.77,
2015,1994-10-01,06:00,    0.00,    12.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.73,-99.9,  326.30,    4.78,   12.69,
2015,1994-10-01,12:00,    0.00,    20.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   13.80,    22.3,  326.30,    4.78,   13.28,
2015,1994-10-01,18:00,    0.00,    12.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.86,-99.9,  326.30,    4.78,   12.84,
2015,1994-10-02,00:00,    0.00,    13.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.74,    21.1,  244.73,    4.78,   12.70,
2015,1994-10-02,06:00,    0.00,    15.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.76,-99.9,  244.73,    4.78,   12.70,
2015,1994-10-02,12:00,    0.00,    22.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   13.86,    21.1,  244.73,    4.78,   13.50,
2015,1994-10-02,18:00,    0.00,    14.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.88,-99.9,  244.73,    4.78,   12.94,
2015,1994-10-03,00:00,    0.00,     7.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.76,    19.9,  326.30,    4.78,   12.73,
2015,1994-10-03,06:00,    0.00,    12.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.76,-99.9,  326.30,    4.78,   12.69,
2015,1994-10-03,08:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    16.1,-99.9,-99.9,-99.9,
2015,1994-10-03,09:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    17.0,-99.9,-99.9,-99.9,
2015,1994-10-03,10:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    18.4,-99.9,-99.9,-99.9,
2015,1994-10-03,11:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    20.2,-99.9,-99.9,-99.9,
2015,1994-10-03,12:00,    0.00,    22.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   14.12,    21.8,  326.30,    4.78,   13.58,
2015,1994-10-03,13:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    23.2,-99.9,-99.9,-99.9,
2015,1994-10-03,18:00,    0.00,    14.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.89,    23.1,  326.30,    4.78,   13.04,
2015,1994-10-04,00:00,    0.00,    10.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.77,    19.3,  326.30,    4.78,   12.75,
2015,1994-10-04,06:00,    0.00,    11.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.76,    16.8,  326.30,    4.78,   12.69,
2015,1994-10-04,12:00,    0.00,    23.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   13.95,    21.9,  326.30,    4.78,   14.10,
2015,1994-10-04,18:00,    0.00,    14.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,   12.88,    23.0,  326.30,    4.78,   12.93,
