



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:12:08 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.H-1 (degC) ,TMIN.H-1 (degC) ,TAVG.H-1 (degC) ,PRCP.H-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,RHUM.I-1 (pct) ,SRADV.H-1 (watt) ,DPTP.H-1 (degC) ,PVPV.H-1 (kPa) ,RHUMN.H-1 (pct) ,RHUMX.H-1 (pct) ,SVPV.H-1 (kPa) ,
2015,2019-01-01,00:00,    3.02,    -5.9,    -4.3,    -5.9,    -4.7,    0.00,    17.2,    27.3,    15.6,    20.0,     4.2,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.36,   17.20,    9.42,   12.11,    4.10,   12.97,    3.05,     120,    14.5,     9.1,      95,    0.00,    -5.3,    0.41,      95,      96,    0.43,
2015,2019-01-01,01:00,-99.9,    -8.0,    -5.9,    -8.0,    -6.6,    0.00,    17.0,    27.4,    16.0,    20.1,     4.4,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.26,   17.25,    9.70,   12.18,    4.19,   12.95,-99.9,     156,    14.5,     8.5,      94,    0.00,    -7.3,    0.35,      94,      95,    0.37,
2015,2019-01-01,02:00,-99.9,    -8.7,    -8.0,    -8.7,    -8.3,    0.00,    17.2,    27.2,    16.0,    19.2,     4.2,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.9,     0.2,   10.36,   17.14,    9.66,   11.58,    4.10,   12.93,-99.9,     158,    12.0,     7.9,      93,    0.00,    -9.2,    0.30,      93,      94,    0.33,
2015,2019-01-01,03:00,-99.9,    -9.5,    -8.7,    -9.5,    -9.1,    0.00,    17.3,    27.1,    16.0,    20.1,     4.2,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.41,   17.07,    9.68,   12.17,    4.10,   12.91,-99.9,     141,    10.9,     7.3,      92,    0.00,   -10.1,    0.28,      92,      93,    0.31,
2015,2019-01-01,04:00,-99.9,   -10.0,    -9.5,   -10.0,    -9.7,    0.00,    17.5,    27.3,    16.3,    18.1,     4.3,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.2,     0.9,     0.2,   10.52,   17.18,    9.86,   10.93,    4.14,   12.89,-99.9,     140,    11.1,     6.7,      92,    0.00,   -10.8,    0.27,      92,      92,    0.29,
2015,2019-01-01,05:00,-99.9,   -10.5,   -10.0,   -10.5,   -10.1,    0.00,    17.1,    27.2,    15.9,    19.9,     3.9,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.33,   17.15,    9.62,   12.00,    4.01,   12.88,-99.9,     126,    12.0,     6.7,      91,    0.00,   -11.2,    0.26,      91,      92,    0.28,
2015,2019-01-01,06:00,-99.9,   -10.7,   -10.5,   -10.7,   -10.5,    0.00,    17.5,    27.4,    16.3,    18.3,     4.2,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.2,     0.9,     0.2,   10.56,   17.24,    9.84,   11.03,    4.10,   12.86,-99.9,     120,    11.3,     7.1,      91,    0.00,   -11.7,    0.25,      91,      91,    0.28,
2015,2019-01-01,07:00,-99.9,   -10.8,   -10.7,   -10.8,   -10.7,    0.00,    17.3,    27.4,    15.8,    20.4,     4.2,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.44,   17.31,    9.53,   12.32,    4.10,   12.85,-99.9,     116,    11.7,     6.9,      91,    0.03,   -11.9,    0.25,      91,      91,    0.27,
2015,2019-01-01,08:00,-99.9,   -10.8,   -10.8,   -11.0,   -10.9,    0.00,    17.4,    27.3,    15.9,    19.9,     4.3,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.47,   17.17,    9.61,   12.03,    4.14,   12.93,-99.9,     106,    11.3,     7.1,      91,   14.36,   -12.1,    0.24,      91,      91,    0.27,
2015,2019-01-01,09:00,-99.9,   -11.2,   -10.8,   -11.2,   -10.9,    0.00,    17.1,    27.2,    16.6,    19.6,     4.0,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.2,     0.9,     0.2,   10.34,   17.12,   10.00,   11.81,    4.05,   13.17,-99.9,     102,    11.1,     7.6,      90,   55.06,   -12.2,    0.24,      90,      91,    0.27,
2015,2019-01-01,10:00,-99.9,   -10.9,   -10.6,   -11.2,   -10.8,    0.00,    17.1,    27.2,    16.2,    19.9,     4.0,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.8,     0.2,   10.29,   17.14,    9.77,   12.00,    4.05,   14.42,-99.9,     108,    11.6,     6.7,      90,  119.30,   -12.2,    0.24,      90,      90,    0.27,
2015,2019-01-01,11:00,-99.9,   -10.3,   -10.3,   -10.9,   -10.6,    0.00,    17.3,    27.2,    15.8,    18.8,     3.9,     1.9,     2.1,     2.6,     3.8,     6.4,     0.3,     0.0,     0.3,     0.9,     0.2,   10.43,   17.16,    9.54,   11.34,    4.01,   15.00,-99.9,     108,    10.6,     6.3,      90,  173.80,   -11.9,    0.25,      90,      90,    0.27,
2015,2019-01-01,12:00,-99.9,    -9.8,    -9.8,   -10.4,   -10.1,    0.00,    17.0,    27.4,    15.9,    18.6,     4.5,     1.9,     2.1,     2.6,     3.8,     6.3,     0.3,     0.0,     0.3,     0.9,     0.2,   10.27,   17.26,    9.59,   11.22,    4.22,   14.66,-99.9,     106,     9.5,     5.7,      90,  230.80,   -11.5,    0.26,      90,      90,    0.28,
2015,2019-01-01,13:00,-99.9,    -9.8,    -9.6,    -9.8,    -9.7,    0.00,    17.7,    27.5,    16.0,    18.7,     4.2,     1.9,     2.1,     2.6,     3.8,     6.3,     0.3,     0.0,     0.3,     0.9,     0.2,   10.65,   17.36,    9.69,   11.24,    4.10,   14.63,-99.9,     105,     7.6,     5.3,      90,  263.90,   -11.1,    0.26,      90,      90,    0.29,
