



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:06:04 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-80 (degC) ,BATT.I-1 (volt) ,SRAD.I-1 (watt) ,ETIL.I-1 (volt) ,ETIB.I-1 (volt) ,
2015,1995-10-01,00:00,    0.00,     4.5,    13.3,    15.1,    17.4,    17.8,    18.4,-99.9,   12.81,-99.9,    4.78,   12.71,
2015,1995-10-01,06:00,    0.00,     9.7,    11.2,    12.7,    15.4,    17.4,    18.4,-99.9,   12.81,-99.9,    4.78,   12.65,
2015,1995-10-01,12:00,    0.00,    22.2,    22.5,    18.7,    17.0,    16.8,    18.4,-99.9,   13.37,-99.9,    4.79,   14.03,
2015,1995-10-01,18:00,    0.00,    16.2,    19.2,    19.7,    19.7,    17.2,    18.3,-99.9,   12.94,-99.9,    4.79,   13.05,
2015,1995-10-02,00:00,    0.00,     8.6,    15.7,    16.7,    18.2,    17.6,    18.2,-99.9,   12.80,  110.14,    4.78,   12.72,
2015,1995-10-02,06:00,    0.00,    11.8,    13.3,    14.5,    16.6,    17.4,    18.2,-99.9,   12.79,  110.14,    4.78,   12.66,
2015,1995-10-02,12:00,    0.00,    21.5,    23.2,    19.3,    17.6,    17.1,    18.2,-99.9,   13.52,  110.14,    4.79,   13.34,
2015,1995-10-02,18:00,    0.00,    10.8,    19.2,    20.1,    20.1,    17.5,    18.2,-99.9,   12.94,  110.14,    4.79,   13.10,
2015,1995-10-03,00:00,    0.00,    10.6,    15.9,    16.8,    18.2,    17.8,    18.1,-99.9,   12.82,-99.9,    4.78,   12.72,
2015,1995-10-03,06:00,    0.00,     9.6,    13.2,    14.7,    16.9,    17.6,    18.1,-99.9,   12.77,-99.9,    4.78,   12.66,
2015,1995-10-03,12:00,    0.00,    23.2,    23.6,    19.6,    17.9,    17.3,    18.2,-99.9,   13.42,-99.9,    4.79,   13.74,
2015,1995-10-03,18:00,    0.00,    14.2,    19.6,    20.4,    20.4,    17.6,    18.1,-99.9,   12.94,-99.9,    4.79,   13.09,
2015,1995-10-04,00:00,    0.00,    13.6,    16.3,    17.2,    18.7,    18.0,    18.1,-99.9,   12.82,  844.32,    4.78,   12.73,
2015,1995-10-04,06:00,    0.00,    15.3,    14.4,    15.3,    17.3,    17.9,    18.1,-99.9,   12.79,  844.32,    4.78,   12.67,
2015,1995-10-04,12:00,    0.00,    24.9,    22.7,    19.9,    18.3,    17.5,    18.1,-99.9,   13.55,  844.32,    4.79,   13.38,
2015,1995-10-04,18:00,    0.00,    10.7,    19.1,    20.2,    20.3,    17.8,    18.1,-99.9,   12.92,  844.32,    4.79,   13.06,
2015,1995-10-05,00:00,    0.00,     2.6,    14.4,    16.1,    18.2,    18.1,    18.1,-99.9,   12.80,   97.91,    4.78,   12.71,
2015,1995-10-05,06:00,    0.00,     5.8,    11.0,    12.9,    16.0,    17.8,    18.1,-99.9,   12.80,   97.91,    4.78,   12.64,
2015,1995-10-05,12:00,    0.00,    14.4,    19.6,    17.9,    16.7,    17.2,    18.2,-99.9,   13.63,   97.91,    4.79,   13.39,
2015,1995-10-05,18:00,    0.00,     7.1,    16.6,    18.4,    18.9,    17.3,    18.2,-99.9,   12.96,   97.91,    4.79,   13.16,
2015,1995-10-06,00:00,    0.00,     3.5,    12.5,    14.4,    16.7,    17.4,    18.1,-99.9,   12.82,  178.12,    4.78,   12.68,
2015,1995-10-06,06:00,    0.00,     3.8,     9.7,    11.7,    14.8,    17.0,    18.1,-99.9,   12.80,  178.12,    4.78,   12.62,
2015,1995-10-06,12:00,    0.00,    17.4,    19.6,    16.7,    15.6,    16.5,    18.1,-99.9,   13.54,  178.12,    4.79,   13.39,
2015,1995-10-06,18:00,    0.00,     8.5,    17.1,    18.2,    18.4,    16.6,    18.0,-99.9,   12.97,  178.12,    4.79,   13.00,
2015,1995-10-07,00:00,    0.00,    10.3,    13.3,    14.5,    16.5,    16.8,    17.9,-99.9,   12.83,-99.9,    4.78,   12.66,
2015,1995-10-07,06:00,    0.00,    13.0,    12.3,    13.1,    15.2,    16.6,    17.9,-99.9,   12.78,-99.9,    4.79,   12.63,
2015,1995-10-07,12:00,    0.00,    23.0,    21.7,    18.1,    16.6,    16.3,    17.9,-99.9,   13.94,-99.9,    4.79,   13.58,
2015,1995-10-07,18:00,    0.00,    14.3,    19.1,    19.5,    19.2,    16.6,    17.9,-99.9,   12.95,-99.9,    4.79,   13.05,
2015,1995-10-08,00:00,    0.00,    11.7,    15.5,    16.3,    17.8,    17.0,    17.7,-99.9,   12.80,-99.9,    4.79,   12.73,
2015,1995-10-08,06:00,    0.00,    14.5,    13.7,    14.3,    16.3,    16.9,    17.6,-99.9,   12.80,-99.9,    4.78,   12.67,
2015,1995-10-08,12:00,    0.00,    24.1,    23.2,    19.4,    17.5,    16.7,    17.7,-99.9,   13.41,-99.9,    4.79,   14.03,
2015,1995-10-08,18:00,    0.00,    11.1,    19.6,    20.3,    20.1,    17.1,    17.6,-99.9,   12.93,-99.9,    4.79,   13.04,
2015,1995-10-09,00:00,    0.00,     8.0,    14.9,    16.2,    18.1,    17.4,    17.6,-99.9,   12.80,  314.08,    4.78,   12.72,
2015,1995-10-09,06:00,    0.00,     8.3,    12.4,    13.8,    16.3,    17.2,    17.6,-99.9,   12.80,  314.08,    4.78,   12.66,
2015,1995-10-09,12:00,    0.00,    23.2,    22.6,    19.0,    17.3,    16.9,    17.7,-99.9,   13.46,  314.08,    4.79,   13.46,
2015,1995-10-09,18:00,    0.00,    11.3,    19.4,    20.1,    19.9,    17.1,    17.7,-99.9,   12.96,  314.08,    4.79,   13.04,
2015,1995-10-10,00:00,    0.00,     9.4,    15.4,    16.4,    18.1,    17.4,    17.6,-99.9,   12.82,   69.35,    4.78,   12.71,
2015,1995-10-10,06:00,    0.00,    11.1,    13.0,    14.1,    16.5,    17.3,    17.6,-99.9,   12.80,   69.35,    4.78,   12.65,
2015,1995-10-10,12:00,    0.00,    23.9,    23.2,    19.3,    17.5,    17.0,    17.7,-99.9,   13.50,   69.35,    4.79,   13.57,
2015,1995-10-10,18:00,    0.00,    11.7,    19.7,    20.4,    20.1,    17.2,    17.6,-99.9,   12.94,   69.35,    4.79,   13.04,
2015,1995-10-11,00:00,    0.00,     4.8,    15.1,    16.4,    18.2,    17.6,    17.6,-99.9,   12.80,    1.37,    4.78,   12.71,
2015,1995-10-11,06:00,    0.00,    10.9,    12.6,    14.0,    16.4,    17.4,    17.6,-99.9,   12.80,    1.37,    4.78,   12.64,
2015,1995-10-11,12:00,    0.00,    26.4,    23.9,    19.4,    17.6,    17.1,    17.7,-99.9,   13.75,    1.37,    4.79,   13.62,
2015,1995-10-11,18:00,    0.00,    13.1,    20.5,    20.9,    20.4,    17.3,    17.7,-99.9,   12.95,    1.37,    4.79,   13.02,
2015,1995-10-12,00:00,    0.00,    10.9,    15.1,    16.5,    18.4,    17.7,    17.6,-99.9,   12.82,-99.9,    4.78,   12.72,
2015,1995-10-12,06:00,    0.00,    16.2,    14.1,    14.8,    16.8,    17.5,    17.6,-99.9,   12.80,-99.9,    4.79,   12.66,
2015,1995-10-12,12:00,    0.00,    24.7,    23.5,    19.4,    17.9,    17.2,    17.7,-99.9,   13.62,-99.9,    4.79,   13.70,
2015,1995-10-12,18:00,    0.00,    16.6,    20.4,    20.6,    20.3,    17.5,    17.7,-99.9,   12.94,-99.9,    4.79,   13.02,
2015,1995-10-13,00:00,    0.00,    15.2,    17.1,    17.6,    18.9,    17.9,    17.7,-99.9,   12.84,-99.9,    4.79,   12.73,
2015,1995-10-13,06:00,    0.00,    13.4,    14.5,    15.5,    17.5,    17.7,    17.6,-99.9,   12.80,-99.9,    4.78,   12.67,
2015,1995-10-13,12:00,    0.00,    18.2,    22.9,    19.4,    18.2,    17.5,    17.8,-99.9,   13.68,-99.9,    4.79,   13.55,
2015,1995-10-13,18:00,    0.00,     8.1,    18.7,    20.0,    20.2,    17.7,    17.8,-99.9,   12.94,-99.9,    4.79,   13.07,
2015,1995-10-14,00:00,    0.00,     3.3,    13.5,    15.6,    18.0,    17.9,    17.7,-99.9,   12.80,   14.96,    4.78,   12.70,
2015,1995-10-14,06:00,    0.00,     5.4,    10.6,    12.7,    15.8,    17.6,    17.7,-99.9,   12.79,   14.96,    4.78,   12.62,
2015,1995-10-14,12:00,    0.00,    24.3,    22.5,    17.9,    16.6,    17.0,    17.8,-99.9,   13.72,   14.96,    4.79,   13.52,
2015,1995-10-14,18:00,    0.00,    13.6,    19.2,    19.7,    19.5,    17.1,    17.8,-99.9,   12.96,   14.96,    4.79,   13.04,
2015,1995-10-15,00:00,    0.00,     7.3,    14.8,    15.9,    17.8,    17.4,    17.7,-99.9,   12.82,-99.9,    4.78,   12.69,
2015,1995-10-15,06:00,    0.00,    10.1,    12.1,    13.6,    16.2,    17.2,    17.7,-99.9,   12.76,-99.9,    4.78,   12.64,
2015,1995-10-15,12:00,    0.00,    26.3,    23.1,    18.6,    17.1,    16.9,    17.7,-99.9,   13.62,-99.9,    4.79,   13.36,
2015,1995-10-15,18:00,    0.00,    14.8,    19.7,    20.2,    19.8,    17.1,    17.7,-99.9,   12.94,-99.9,    4.79,   13.00,
2015,1995-10-16,00:00,    0.00,    12.6,    14.8,    16.1,    17.9,    17.4,    17.6,-99.9,   12.82,-99.9,    4.78,   12.71,
2015,1995-10-16,06:00,    0.00,    16.6,    14.0,    14.6,    16.6,    17.2,    17.6,-99.9,   12.81,-99.9,    4.78,   12.66,
2015,1995-10-16,12:00,    0.00,    25.1,    23.1,    18.9,    17.6,    17.0,    17.6,-99.9,   13.92,-99.9,    4.79,   13.55,
2015,1995-10-16,18:00,    0.00,    14.4,    19.9,    20.0,    19.9,    17.3,    17.6,-99.9,   12.94,-99.9,    4.79,   12.98,
2015,1995-10-17,00:00,    0.00,    14.6,    16.5,    17.0,    18.4,    17.6,    17.6,-99.9,   12.83,-99.9,    4.79,   12.73,
2015,1995-10-17,06:00,    0.00,    13.3,    14.2,    14.9,    17.0,    17.4,    17.6,-99.9,   12.86,-99.9,    4.78,   12.69,
2015,1995-10-17,12:00,    0.00,    21.3,    21.9,    19.2,    17.9,    17.2,    17.6,-99.9,   13.63,-99.9,    4.79,   13.84,
2015,1995-10-17,18:00,    0.00,     9.5,    18.8,    19.2,    19.5,    17.4,    17.6,-99.9,   12.94,-99.9,    4.79,   13.02,
2015,1995-10-18,00:00,    0.00,     6.4,    14.2,    15.4,    17.6,    17.5,    17.6,-99.9,   12.82,-99.9,    4.78,   12.71,
2015,1995-10-18,06:00,    0.00,     9.8,    12.2,    13.4,    16.0,    17.3,    17.6,-99.9,   12.80,-99.9,    4.78,   12.64,
2015,1995-10-18,12:00,    0.00,    24.9,    23.1,    18.8,    17.2,    16.9,    17.6,-99.9,   13.43,-99.9,    4.79,   13.34,
2015,1995-10-18,18:00,    0.00,    13.1,    19.7,    19.7,    19.5,    17.1,    17.6,-99.9,   12.95,-99.9,    4.79,   13.00,
2015,1995-10-19,00:00,    0.00,    12.3,    15.6,    16.3,    18.0,    17.4,    17.6,-99.9,   12.82,  626.78,    4.79,   12.71,
2015,1995-10-19,06:00,    0.00,    14.2,    13.9,    14.5,    16.6,    17.2,    17.6,-99.9,   12.79,  626.78,    4.79,   12.65,
2015,1995-10-19,12:00,    0.00,    20.3,    23.6,    19.5,    17.7,    17.0,    17.6,-99.9,   14.02,  626.78,    4.79,   13.55,
2015,1995-10-19,18:00,    0.00,     8.0,    18.6,    19.6,    19.7,    17.3,    17.6,-99.9,   12.94,  626.78,    4.79,   13.01,
2015,1995-10-20,00:00,    0.00,    -0.9,    12.7,    14.9,    17.5,    17.5,    17.5,-99.9,   12.81,  191.71,    4.78,   12.69,
2015,1995-10-20,06:00,    0.00,     3.2,     9.8,    12.1,    15.3,    17.1,    17.5,-99.9,   12.77,  191.71,    4.78,   12.62,
2015,1995-10-20,12:00,    0.00,    18.6,    20.3,    16.7,    15.9,    16.6,    17.6,-99.9,   13.84,  191.71,    4.79,   13.37,
2015,1995-10-20,18:00,    0.00,    12.3,    17.5,    17.8,    18.0,    16.6,    17.6,-99.9,   12.96,  191.71,    4.79,   12.96,
2015,1995-10-21,00:00,    0.00,    10.8,    13.9,    14.4,    16.5,    16.8,    17.4,-99.9,   12.83,  749.15,    4.78,   12.67,
2015,1995-10-21,06:00,    0.00,    12.9,    12.5,    12.8,    15.2,    16.6,    17.4,-99.9,   12.78,  749.15,    4.78,   12.64,
2015,1995-10-21,12:00,    0.00,    23.3,    21.7,    18.1,    16.5,    16.3,    17.5,-99.9,   13.76,  749.15,    4.79,   13.97,
2015,1995-10-21,18:00,    0.00,    15.4,    18.7,    18.9,    18.7,    16.5,    17.4,-99.9,   12.95,  749.15,    4.79,   12.99,
2015,1995-10-22,00:00,    0.00,    15.0,    14.8,    15.6,    17.3,    16.8,    17.3,-99.9,   12.82,-99.9,    4.79,   12.72,
2015,1995-10-22,06:00,    0.00,    13.3,    13.3,    14.1,    16.1,    16.7,    17.3,-99.9,   12.78,-99.9,    4.78,   12.65,
2015,1995-10-22,12:00,    0.00,    22.1,    22.1,    18.2,    16.9,    16.4,    17.3,-99.9,   13.55,-99.9,    4.79,   13.39,
2015,1995-10-22,18:00,    0.00,     4.9,    17.1,    17.9,    18.4,    16.6,    17.3,-99.9,   12.93,-99.9,    4.78,   12.97,
2015,1995-10-23,00:00,    0.00,     3.0,    12.2,    13.7,    16.3,    16.8,    17.3,-99.9,   12.82,-99.9,    4.78,   12.70,
2015,1995-10-23,06:00,    0.00,     1.1,     9.5,    11.4,    14.5,    16.5,    17.3,-99.9,   12.78,-99.9,    4.78,   12.62,
2015,1995-10-23,12:00,    0.00,    13.8,    19.0,    15.9,    15.1,    16.0,    17.3,-99.9,   13.94,-99.9,    4.79,   13.39,
2015,1995-10-23,18:00,    0.00,     3.7,    15.3,    16.5,    17.1,    15.9,    17.2,-99.9,   12.96,-99.9,    4.78,   13.02,
2015,1995-10-24,00:00,    0.00,     2.0,    10.2,    12.3,    15.0,    16.1,    17.1,-99.9,   12.84,-99.9,    4.78,   12.65,
2015,1995-10-24,06:00,    0.00,    -0.8,     8.1,    10.3,    13.4,    15.7,    17.1,-99.9,   12.72,-99.9,    4.78,   12.58,
2015,1995-10-24,12:00,    0.00,    19.4,    19.2,    15.7,    14.5,    15.2,    17.1,-99.9,   13.52,-99.9,    4.79,   13.47,
2015,1995-10-24,18:00,    0.00,     9.7,    16.8,    17.1,    17.0,    15.3,    17.1,-99.9,   12.97,-99.9,    4.79,   13.03,
2015,1995-10-25,00:00,    0.00,    11.6,    13.1,    13.9,    15.5,    15.6,    16.9,-99.9,   12.79,-99.9,    4.78,   12.70,
2015,1995-10-25,06:00,    0.00,     9.8,    11.1,    12.1,    14.4,    15.5,    16.9,-99.9,   12.77,-99.9,    4.78,   12.62,
2015,1995-10-25,12:00,    0.00,    18.8,    20.7,    17.0,    15.5,    15.3,    16.9,-99.9,   13.58,-99.9,    4.79,   13.44,
2015,1995-10-25,18:00,    0.00,     8.0,    16.7,    17.1,    17.3,    15.5,    16.8,-99.9,   12.96,-99.9,    4.79,   12.93,
2015,1995-10-26,00:00,    0.00,     5.9,    12.2,    13.4,    15.5,    15.6,    16.7,-99.9,   12.85,-99.9,    4.78,   12.69,
2015,1995-10-26,06:00,    0.00,    11.1,    10.7,    11.6,    14.0,    15.4,    16.7,-99.9,   12.79,-99.9,    4.78,   12.62,
2015,1995-10-26,12:00,    0.00,    18.3,    17.6,    15.5,    14.9,    15.1,    16.6,-99.9,   13.61,-99.9,    4.79,   13.79,
2015,1995-10-26,18:00,    0.00,    18.0,    16.5,    16.6,    16.6,    15.3,    16.7,-99.9,   12.96,-99.9,    4.79,   12.91,
2015,1995-10-27,00:00,    0.00,    11.8,    13.6,    14.0,    15.6,    15.4,    16.6,-99.9,   12.84,-99.9,    4.78,   12.71,
2015,1995-10-27,06:00,    0.00,    12.7,    12.2,    12.4,    14.5,    15.3,    16.6,-99.9,   12.78,-99.9,    4.78,   12.63,
2015,1995-10-27,12:00,    0.00,    22.3,    21.4,    17.5,    15.7,    15.2,    16.6,-99.9,   13.74,-99.9,    4.79,   13.52,
