



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:07:28 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.H-1 (degC) ,TMIN.H-1 (degC) ,TAVG.H-1 (degC) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,BATT.I-1 (volt) ,RHUM.I-1 (pct) ,SRADV.H-1 (watt) ,WDMVV.H-1 (mile) ,ETIL.I-1 (volt) ,ETIB.I-1 (volt) ,RHUMN.H-1 (pct) ,RHUMX.H-1 (pct) ,
2015,2000-01-01,00:00,    1.22,     2.1,     5.0,     2.1,     3.7,     8.7,    10.2,    14.4,     7.8,    11.6,     4.7,     5.1,     5.2,     5.0,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.96,    6.60,    8.80,    5.60,    7.30,   12.63,      83,    4.98,       3,    4.68,   13.05,      76,      84,
2015,2000-01-01,01:00,    1.22,    -0.5,     2.0,    -0.5,     0.6,     8.6,    10.1,    14.3,     7.5,    11.6,     4.0,     4.7,     5.0,     5.0,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.92,    6.60,    8.70,    5.40,    7.30,   12.60,      92,    4.65,       3,    4.68,   13.03,      83,      93,
2015,2000-01-01,02:00,    1.22,     1.3,     1.3,    -1.0,     0.3,     8.5,     9.9,    14.1,     7.7,    11.3,     3.5,     4.3,     4.9,     5.0,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.86,    6.50,    8.60,    5.50,    7.20,   12.58,      93,    4.65,       2,    4.68,   13.01,      89,      97,
2015,2000-01-01,03:00,    1.22,     1.0,     1.8,     1.0,     1.3,     8.7,     9.9,    14.2,     7.7,    11.8,     3.2,     4.0,     4.7,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.93,    6.50,    8.70,    5.50,    7.40,   12.56,      92,    4.65,       3,    4.68,   12.99,      91,      93,
2015,2000-01-01,04:00,    1.22,    -1.8,     1.0,    -1.8,    -0.2,     8.5,    10.2,-99.9,-99.9,    11.5,     2.9,     3.8,-99.9,-99.9,     7.2,     0.2,     0.2,-99.9,-99.9,     0.3,    5.87,    6.60,-99.9,-99.9,    7.30,   12.52,      97,    4.65,       2,    4.68,   12.97,      87,      98,
2015,2000-01-01,05:00,    1.22,     0.5,     0.6,    -1.8,    -0.7,     8.6,    10.0,    14.1,     7.8,    11.7,     2.4,     3.5,     4.4,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.89,    6.50,    8.60,    5.60,    7.40,   12.52,      96,    4.65,       2,    4.68,   12.95,      96,     100,
2015,2000-01-01,06:00,    1.22,    -1.0,     0.5,    -1.3,    -0.7,     8.4,    10.0,    14.1,     7.7,    11.6,     2.0,     3.1,     4.2,     5.1,     7.1,     0.2,     0.2,     0.3,     0.3,     0.3,    5.83,    6.60,    8.60,    5.50,    7.30,   12.51,      97,    4.32,       2,    4.68,   12.93,      94,      99,
2015,2000-01-01,07:00,    1.22,     3.7,     3.7,    -1.1,     0.3,     8.3,     9.9,    14.1,     7.7,    11.8,     1.7,     2.8,     4.1,     5.1,     7.1,     0.2,     0.2,     0.3,     0.3,     0.3,    5.78,    6.50,    8.60,    5.50,    7.40,   12.57,      87,   14.61,       2,    4.68,   12.95,      85,      98,
2015,2000-01-01,08:00,    1.22,     6.0,     6.2,     3.9,     5.2,     8.4,     9.9,    14.1,     7.7,    11.7,     1.8,     2.7,     3.9,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.83,    6.50,    8.60,    5.50,    7.40,   12.71,      73,   58.42,      11,    4.68,   13.02,      73,      86,
2015,2000-01-01,09:00,    1.22,    10.0,    10.0,     5.8,     8.4,     8.6,    10.0,    14.1,     7.7,    11.8,     2.6,     2.8,     3.8,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.93,    6.60,    8.60,    5.50,    7.40,   13.36,      52,  297.74,      14,    4.68,   14.74,      52,      74,
2015,2000-01-01,10:00,    1.22,    10.1,    10.7,     9.5,    10.1,     8.6,    10.1,    14.2,     7.7,    11.7,     4.3,     3.5,     3.7,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.92,    6.60,    8.60,    5.50,    7.40,   13.39,      46,  454.75,      17,    4.68,   14.21,      45,      53,
2015,2000-01-01,11:00,    1.22,    10.6,    11.5,     9.9,    10.4,     8.8,    10.2,    14.2,     7.7,    11.8,     6.5,     4.7,     3.9,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.02,    6.60,    8.70,    5.50,    7.40,   13.36,      41,  497.57,      19,    4.69,   14.25,      40,      46,
2015,2000-01-01,12:00,    1.22,    10.8,    11.2,    10.2,    10.7,     9.1,    10.3,    14.1,     7.7,    11.5,     8.6,     6.0,     4.2,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.13,    6.70,    8.60,    5.50,    7.30,   13.37,      36,  526.11,      19,    4.68,   14.07,      35,      42,
2015,2000-01-01,13:00,    1.22,    10.4,    11.2,    10.3,    10.7,-99.9,    10.5,    14.1,     7.7,    11.6,    10.2,     7.3,     4.6,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.25,    6.80,    8.60,    5.50,    7.30,   13.46,      30,  475.66,      18,    4.69,   14.70,      30,      37,
2015,2000-01-01,14:00,    1.22,     9.8,    11.0,     9.2,    10.0,-99.9,    10.5,    14.4,     7.7,    11.7,    11.0,     8.3,     5.2,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.29,    6.80,    8.80,    5.50,    7.40,   14.09,      28,  350.85,      18,    4.68,   14.18,      24,      31,
2015,2000-01-01,15:00,    1.22,     8.8,     9.7,     8.7,     9.2,-99.9,    10.5,    14.4,     7.7,    11.5,    10.5,     8.6,     5.7,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.25,    6.80,    8.80,    5.50,    7.30,   13.42,      23,  198.50,      16,    4.69,   14.16,      22,      28,
2015,2000-01-01,16:00,    1.22,     5.5,     8.7,     5.5,     7.5,-99.9,    10.6,    14.3,     7.8,    11.8,     9.2,     8.3,     6.0,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.13,    6.80,    8.80,    5.60,    7.40,   13.49,      29,   45.14,      14,    4.69,   14.17,      20,      29,
2015,2000-01-01,17:00,    1.22,     3.8,     5.5,     3.8,     4.5,     9.0,    10.4,    14.4,     7.7,    11.3,     7.8,     7.7,     6.2,     5.1,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.10,    6.70,    8.80,    5.50,    7.20,   13.06,      27,    4.32,      10,    4.68,   13.73,      23,      31,
2015,2000-01-01,18:00,    1.22,     1.9,     3.8,     1.3,     2.0,     8.9,    10.3,    14.5,     7.7,    11.6,     6.6,     7.0,     6.2,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.04,    6.70,    8.80,    5.50,    7.30,   12.90,      37,    4.98,       9,    4.68,   13.46,      27,      40,
2015,2000-01-01,19:00,    1.22,     1.2,     2.0,     0.8,     1.3,     8.8,    10.2,    14.4,     7.7,    11.1,     5.5,     6.3,     6.0,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.98,    6.70,    8.80,    5.50,    7.10,   12.80,      40,    4.98,      11,    4.68,   13.28,      37,      40,
2015,2000-01-01,20:00,    1.22,     0.8,     1.2,     0.5,     0.8,     8.8,    10.3,    14.4,     7.7,    11.5,     4.7,     5.6,     5.8,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.99,    6.70,    8.80,    5.50,    7.30,   12.75,      43,    4.98,      10,    4.68,   13.18,      40,      43,
2015,2000-01-01,21:00,    1.22,     0.0,     0.8,     0.0,     0.3,     8.6,    10.3,    14.5,     7.7,    11.7,     4.0,     5.1,     5.6,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.91,    6.70,    8.80,    5.50,    7.40,   12.72,      48,    4.98,      11,    4.68,   13.12,      43,      48,
2015,2000-01-01,22:00,    1.22,    -0.7,     0.3,    -0.8,    -0.2,     8.4,    10.3,    14.3,     7.5,    11.5,     3.5,     4.6,     5.4,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.84,    6.70,    8.70,    5.40,    7.30,   12.66,      52,    4.98,      10,    4.68,   13.09,      47,      52,
2015,2000-01-01,23:00,    1.22,    -1.2,    -0.5,    -1.3,    -1.0,     8.4,    10.0,    14.3,     7.6,    11.6,     2.9,     4.1,     5.1,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.82,    6.50,    8.70,    5.50,    7.30,   12.65,      54,    4.98,       9,    4.68,   13.06,      51,      54,
2015,2000-01-02,00:00,    1.22,    -1.6,    -1.1,    -1.7,    -1.4,     8.6,     9.9,    14.3,     7.9,    11.5,     2.4,     3.7,     4.9,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.89,    6.50,    8.70,    5.60,    7.30,   12.62,      56,    4.98,       8,    4.68,   13.04,      54,      57,
2015,2000-01-02,01:00,    1.22,    -1.1,    -1.1,    -2.1,    -1.6,     8.5,     9.9,    14.1,     7.7,    11.6,     2.0,     3.3,     4.6,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.87,    6.50,    8.60,    5.50,    7.30,   12.60,      55,    4.98,       8,    4.68,   13.03,      55,      58,
2015,2000-01-02,02:00,    1.22,    -1.6,    -1.2,    -1.8,    -1.4,     8.4,    10.1,    14.2,     7.6,    11.4,     1.7,     3.0,     4.4,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.81,    6.60,    8.70,    5.50,    7.20,   12.56,      58,    4.98,       9,    4.68,   13.00,      55,      58,
2015,2000-01-02,03:00,    1.22,    -1.7,    -1.5,    -2.0,    -1.8,     8.4,     9.9,    14.1,     7.7,    11.7,     1.6,     2.8,     4.2,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.81,    6.50,    8.60,    5.50,    7.40,   12.56,      52,    4.98,       7,    4.68,   12.98,      52,      58,
2015,2000-01-02,04:00,    1.22,    -4.0,    -1.8,    -4.6,    -3.6,     8.5,    10.1,    14.0,     7.7,    11.3,     1.4,     2.6,     4.0,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.85,    6.60,    8.60,    5.50,    7.20,   12.52,      56,    4.98,       2,    4.68,   12.96,      52,      59,
2015,2000-01-02,05:00,    1.22,    -3.5,    -3.3,    -5.8,    -4.3,     8.3,    10.0,    14.1,     7.7,    11.5,     1.2,     2.4,     3.8,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.79,    6.50,    8.60,    5.50,    7.30,   12.50,      55,    4.65,       2,    4.68,   12.94,      53,      65,
2015,2000-01-02,06:00,    1.22,    -2.9,    -1.9,    -4.5,    -2.7,     8.3,     9.9,    14.0,     7.7,    11.5,     1.0,     2.2,     3.7,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.79,    6.50,    8.50,    5.50,    7.30,   12.48,      51,    4.65,       7,    4.68,   12.92,      49,      58,
2015,2000-01-02,07:00,    1.22,     1.8,     1.8,    -3.3,    -0.6,     8.4,     9.9,    14.0,     7.9,    11.6,     0.9,     2.0,     3.5,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.83,    6.50,    8.60,    5.60,    7.30,   12.71,      39,   30.87,       9,    4.68,   13.05,      39,      52,
2015,2000-01-02,08:00,    1.22,     3.7,     4.0,     1.7,     2.6,     8.4,     9.9,    13.9,     8.0,    11.6,     0.9,     1.9,     3.4,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.83,    6.50,    8.50,    5.60,    7.30,   13.53,      39,  183.23,      10,    4.68,   13.96,      39,      41,
2015,2000-01-02,09:00,    1.22,     5.1,     5.4,     3.6,     4.5,     8.4,     9.9,    14.0,     7.4,    11.7,     1.0,     1.9,     3.3,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.83,    6.50,    8.60,    5.40,    7.40,   13.52,      36,  335.58,       9,    4.68,   14.22,      36,      40,
2015,2000-01-02,10:00,    1.22,     6.1,     6.2,     4.7,     5.5,     8.3,     9.9,    14.0,     7.7,    11.6,     1.6,     2.0,     3.2,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.76,    6.50,    8.60,    5.50,    7.30,   13.37,      34,  458.73,      11,    4.68,   14.12,      34,      37,
2015,2000-01-02,11:00,    1.22,     7.1,     7.1,     5.9,     6.3,     8.6,    10.0,    14.0,     7.7,    11.5,     4.2,     3.1,     3.2,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.90,    6.60,    8.60,    5.50,    7.30,   13.42,      29,  531.76,      13,    4.69,   14.86,      28,      34,
2015,2000-01-02,12:00,    1.22,     6.7,     7.3,     6.4,     6.8,     8.8,    10.2,    13.8,     7.9,    11.3,     6.9,     4.6,     3.4,     5.3,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    5.98,    6.60,    8.40,    5.60,    7.20,   13.37,      28,  537.73,      11,    4.68,   14.61,      26,      30,
2015,2000-01-02,13:00,    1.22,     5.8,     7.2,     4.5,     6.4,-99.9,    10.4,    13.9,     7.9,    11.7,     8.9,     6.0,     3.7,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.17,    6.70,    8.50,    5.60,    7.40,   13.35,      32,  425.87,      10,    4.68,   14.16,      26,      33,
2015,2000-01-02,14:00,    1.22,     3.9,     7.4,     3.8,     4.7,-99.9,    10.4,    14.0,     7.7,    11.7,     9.0,     7.0,     4.3,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.16,    6.70,    8.50,    5.50,    7.40,   13.53,      37,  170.95,       9,    4.68,   13.95,      28,      38,
2015,2000-01-02,15:00,    1.22,     1.3,     3.9,     1.3,     3.1,     8.8,    10.4,    14.1,     7.8,    11.7,     8.1,     7.1,     4.8,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.01,    6.70,    8.60,    5.60,    7.40,   13.65,      62,   91.61,      11,    4.69,   13.90,      36,      62,
2015,2000-01-02,16:00,    1.22,    -0.7,     2.0,    -0.7,     1.1,     8.8,    10.4,    14.1,     7.6,    11.3,     7.1,     6.7,     5.0,     5.2,     7.2,     0.2,     0.2,     0.3,     0.3,     0.3,    6.00,    6.70,    8.60,    5.50,    7.20,   13.07,      66,   32.20,       7,    4.68,   13.59,      50,      66,
