



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:08:34 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.H-1 (degC) ,TMIN.H-1 (degC) ,TAVG.H-1 (degC) ,PRCP.H-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,SRADV.H-1 (watt) ,RHUMN.H-1 (pct) ,RHUMX.H-1 (pct) ,
2015,2006-01-01,00:00,    1.12,     8.2,     9.4,     8.2,     9.1,    0.00,     6.4,     7.6,     8.9,     8.0,    10.9,     7.2,     7.4,     7.4,     7.3,     8.5,     0.2,     0.3,     0.3,     0.3,     0.3,    4.97,    5.46,    6.03,    5.63,    6.98,   13.45,    3.18,     272,    31.4,    19.7,      34,   29.67,    0.00,      34,      36,
2015,2006-01-01,01:00,-99.9,     7.9,     8.2,     7.8,     8.0,    0.00,     6.4,     7.5,     8.5,     7.8,    10.7,     7.0,     7.2,     7.4,     7.3,     8.5,     0.2,     0.3,     0.3,     0.3,     0.3,    4.96,    5.43,    5.87,    5.57,    6.88,   13.41,-99.9,     267,    33.8,    19.9,      38,   29.67,    0.00,      34,      38,
2015,2006-01-01,02:00,-99.9,     8.1,     8.6,     7.9,     8.2,    0.00,-99.9,     7.9,     9.1,     8.2,    10.9,     6.8,     7.1,     7.3,     7.4,     8.5,     0.3,     0.2,     0.3,     0.3,     0.3,    4.65,    5.60,    6.14,    5.73,    7.00,   13.38,-99.9,     253,    34.2,    21.6,      40,   29.68,    0.00,      37,      40,
2015,2006-01-01,03:00,-99.9,     7.6,     8.3,     7.6,     8.1,    0.00,     6.0,     7.5,     8.7,     7.5,    10.5,     6.6,     6.9,     7.2,     7.4,     8.5,     0.3,     0.3,     0.3,     0.4,     0.3,    4.80,    5.41,    5.96,    5.43,    6.80,   13.35,-99.9,     233,    25.6,    16.0,      42,   29.68,    0.00,      40,      42,
2015,2006-01-01,04:00,-99.9,     6.5,     7.6,     6.5,     7.1,    0.00,     6.1,     7.2,     8.7,     7.6,    10.9,     6.6,     6.9,     7.1,     7.4,     8.5,     0.3,     0.3,     0.3,     0.4,     0.3,    4.85,    5.31,    5.93,    5.48,    6.98,   13.32,-99.9,     236,    22.4,    14.4,      43,   29.67,    0.00,      42,      43,
2015,2006-01-01,05:00,-99.9,     5.4,     6.5,     5.4,     6.3,    0.00,     6.5,     7.5,     8.8,     7.7,    10.9,     6.5,     6.8,     7.1,     7.4,     8.5,     0.2,     0.3,     0.3,     0.4,     0.3,    5.00,    5.44,    6.01,    5.52,    6.98,   13.29,-99.9,     236,    18.3,    11.3,      45,   29.66,    0.00,      43,      45,
2015,2006-01-01,06:00,-99.9,     7.0,     7.0,     4.9,     6.1,    0.00,     6.2,     7.2,     8.8,     7.7,    10.8,     6.2,     6.6,     7.0,     7.4,     8.5,     0.3,     0.3,     0.3,     0.4,     0.3,    4.87,    5.30,    6.00,    5.51,    6.94,   13.27,-99.9,     253,    24.4,    12.7,      33,   29.66,    0.00,      33,      46,
2015,2006-01-01,07:00,-99.9,     5.5,     7.0,     5.5,     6.4,    0.00,     5.9,     7.3,     8.5,     7.7,    10.9,     5.8,     6.4,     6.9,     7.4,     8.5,     0.3,     0.3,     0.3,     0.4,     0.3,    4.76,    5.36,    5.87,    5.51,    6.98,   13.25,-99.9,     288,    31.4,    18.6,      34,   29.68,    0.00,      31,      34,
2015,2006-01-01,08:00,-99.9,     5.6,     5.6,     5.4,     5.5,    0.00,     5.9,     7.4,     8.8,     7.6,    10.7,     5.6,     6.2,     6.9,     7.4,     8.5,     0.3,     0.3,     0.3,     0.4,     0.3,    4.75,    5.39,    6.00,    5.46,    6.88,   14.52,-99.9,     283,    34.6,    23.9,      35,   29.67,   41.27,      34,      35,
2015,2006-01-01,09:00,-99.9,     6.3,     6.3,     5.6,     5.8,    0.00,-99.9,     7.5,     8.6,     8.3,    11.0,     5.4,     6.1,     6.7,     7.4,     8.5,     0.3,     0.3,     0.3,     0.3,     0.3,    4.55,    5.42,    5.90,    5.79,    7.04,   14.48,-99.9,     282,    40.1,    26.2,      34,   29.69,  177.53,      34,      35,
