



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:10:05 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.H-1 (degC) ,TMIN.H-1 (degC) ,TAVG.H-1 (degC) ,PRCP.H-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,SRADV.H-1 (watt) ,DPTP.H-1 (degC) ,PVPV.H-1 (kPa) ,RHUMN.H-1 (pct) ,RHUMX.H-1 (pct) ,SVPV.H-1 (kPa) ,
2015,2011-01-01,00:00,    1.66,   -13.2,   -12.5,   -13.2,   -12.8,    0.00,    11.3,    11.0,     7.9,     8.2,    11.5,    -1.1,     0.4,     1.9,     4.8,     8.0,     0.3,     0.3,     0.3,     0.3,     0.3,    5.42,    7.01,    5.59,    5.73,    7.26,   13.69,    3.04,     279,    12.2,     6.9,      58,   29.84,    0.04,   -19.5,    0.13,      56,      58,    0.23,
2015,2011-01-01,01:00,-99.9,   -13.3,   -12.9,   -13.4,   -13.1,    0.00,    11.3,    11.2,     8.1,     8.5,    11.4,    -1.4,     0.3,     1.8,     4.8,     8.0,     0.3,     0.3,     0.3,     0.3,     0.3,    5.50,    7.12,    5.71,    5.86,    7.23,   13.66,-99.9,     279,    14.3,     8.3,      59,   29.84,    0.07,   -19.7,    0.13,      56,      59,    0.22,
2015,2011-01-01,02:00,-99.9,   -12.8,   -12.0,   -13.3,   -12.5,    0.00,    11.3,    10.9,     8.1,     8.4,    11.2,    -1.6,     0.1,     1.7,     4.7,     8.0,     0.3,     0.3,     0.3,     0.3,     0.3,    5.29,    7.00,    5.70,    5.81,    7.12,   13.64,-99.9,     287,    21.7,    12.6,      57,   29.84,    0.11,   -19.5,    0.13,      54,      59,    0.23,
2015,2011-01-01,03:00,-99.9,   -12.5,   -12.2,   -12.8,   -12.4,    0.00,    11.3,    10.8,     7.7,     8.1,    11.3,    -1.9,    -0.1,     1.6,     4.7,     8.0,     0.3,     0.3,     0.3,     0.3,     0.3,    5.22,    6.92,    5.52,    5.68,    7.19,   13.60,-99.9,     289,    22.8,    15.1,      56,   29.86,    0.12,   -19.3,    0.13,      56,      57,    0.24,
2015,2011-01-01,04:00,-99.9,   -13.0,   -12.5,   -13.0,   -12.7,    0.00,    11.3,    10.8,     8.0,     7.9,    11.6,    -2.1,    -0.2,     1.5,     4.6,     8.0,     0.3,     0.3,     0.3,     0.4,     0.3,    5.22,    6.50,    5.66,    5.59,    7.30,   13.58,-99.9,     292,    22.2,    14.7,      57,   29.85,    0.10,   -19.5,    0.13,      56,      57,    0.23,
2015,2011-01-01,05:00,-99.9,   -12.8,   -12.6,   -13.0,   -12.8,    0.00,    11.3,    10.8,     7.8,     7.9,    11.3,    -2.4,    -0.4,     1.4,     4.6,     8.0,     0.3,     0.3,     0.3,     0.4,     0.3,    5.07,    6.28,    5.57,    5.59,    7.19,   13.56,-99.9,     296,    22.1,    15.3,      57,   29.86,    0.12,   -19.6,    0.13,      56,      58,    0.23,
2015,2011-01-01,06:00,-99.9,   -12.6,   -12.0,   -12.8,   -12.3,    0.00,    11.3,    10.8,     7.5,     7.7,    11.6,    -2.6,    -0.6,     1.2,     4.5,     8.0,     0.3,     0.3,     0.3,     0.4,     0.3,    5.37,    5.92,    5.43,    5.51,    7.30,   13.54,-99.9,     295,    23.4,    15.8,      57,   29.88,    0.11,   -19.4,    0.13,      54,      57,    0.24,
2015,2011-01-01,07:00,-99.9,   -13.1,   -12.6,   -13.3,   -12.9,    0.00,    11.3,    10.8,     7.9,     8.1,    11.3,    -2.8,    -0.8,     1.1,     4.5,     8.0,     0.3,     0.3,     0.3,     0.3,     0.3,    5.17,    5.84,    5.62,    5.68,    7.16,   13.51,-99.9,     293,    21.5,    15.0,      59,   29.88,    0.32,   -19.4,    0.13,      57,      60,    0.23,
2015,2011-01-01,08:00,-99.9,   -12.0,   -12.0,   -13.1,   -12.8,    0.00,    11.2,    10.8,     8.3,     8.1,    11.3,    -3.0,    -1.0,     1.0,     4.4,     7.9,     0.3,     0.3,     0.3,     0.3,     0.3,    5.05,    5.79,    5.79,    5.68,    7.18,   17.52,-99.9,     293,    25.0,    16.2,      58,   29.90,   55.32,   -19.1,    0.14,      58,      60,    0.23,
2015,2011-01-01,09:00,-99.9,    -9.9,    -9.9,   -12.0,   -11.0,    0.00,    11.2,    10.8,     7.7,     7.8,    11.6,    -3.1,    -1.2,     0.8,     4.4,     8.0,     0.3,     0.3,     0.3,     0.4,     0.3,    4.98,    5.83,    5.51,    5.57,    7.31,   17.79,-99.9,     291,    20.5,    10.2,      50,   29.96,  244.60,   -18.3,    0.15,      50,      58,    0.27,
