



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:12:46 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.H-1 (degC) ,TMIN.H-1 (degC) ,TAVG.H-1 (degC) ,PRCP.H-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,RHUM.I-1 (pct) ,SRADV.H-1 (watt) ,DPTP.H-1 (degC) ,PVPV.H-1 (kPa) ,RHUMN.H-1 (pct) ,RHUMX.H-1 (pct) ,SVPV.H-1 (kPa) ,
2015,2021-01-01,00:00,    0.36,   -10.8,    -8.7,   -10.8,    -9.4,    0.00,     7.9,-99.9,     8.5,    20.6,     4.8,    -1.0,-99.9,     2.1,     4.5,     7.7,     0.3,     0.0,     0.3,     0.7,     0.2,    5.60,   10.84,    5.88,   12.50,    4.32,   12.95,    3.04,      49,     6.2,     4.3,      53,    0.00,   -18.0,    0.15,      49,      53,    0.30,
2015,2021-01-01,01:00,-99.9,   -10.3,   -10.1,   -10.8,   -10.3,    0.00,     7.1,-99.9,     7.5,    19.9,     4.5,    -1.2,-99.9,     1.9,     4.5,     7.7,     0.3,     0.0,     0.3,     0.7,     0.2,    5.27,   10.76,    5.42,   12.02,    4.21,   12.91,-99.9,      50,     7.3,     4.7,      52,    0.00,   -18.3,    0.14,      52,      53,    0.28,
2015,2021-01-01,02:00,-99.9,   -10.5,   -10.3,   -11.0,   -10.7,    0.00,     6.3,-99.9,     8.3,    20.8,     4.7,    -1.5,-99.9,     1.7,     4.5,     7.7,     0.3,     0.0,     0.3,     0.7,     0.2,    4.91,   10.69,    5.77,   12.62,    4.28,   12.89,-99.9,      48,     5.9,     4.8,      53,    0.00,   -18.4,    0.14,      52,      54,    0.27,
2015,2021-01-01,03:00,-99.9,   -12.0,    -9.5,   -12.0,   -10.4,    0.00,     6.9,-99.9,     7.9,    21.2,     4.9,    -1.8,-99.9,     1.6,     4.5,     7.7,     0.3,     1.8,     0.3,     0.6,     0.2,    5.19,    0.93,    5.62,   12.85,    4.37,   12.86,-99.9,      51,     6.3,     4.7,      56,    0.00,   -18.4,    0.14,      49,      56,    0.28,
2015,2021-01-01,04:00,-99.9,   -10.8,    -8.9,   -12.0,   -10.5,    0.00,     7.0,-99.9,     7.4,    20.4,     4.5,    -2.1,-99.9,     1.4,     4.4,     7.7,     0.3,     1.8,     0.3,     0.7,     0.2,    5.23,    0.92,    5.37,   12.33,    4.24,   12.84,-99.9,      52,     7.8,     4.3,      57,    0.00,   -17.8,    0.15,      52,      57,    0.28,
2015,2021-01-01,05:00,-99.9,   -10.4,    -9.7,   -10.8,   -10.2,    0.00,     5.9,-99.9,     7.7,    20.0,     4.4,    -2.3,-99.9,     1.2,     4.4,     7.6,     0.3,     1.8,     0.3,     0.7,     0.2,    4.76,    0.91,    5.51,   12.07,    4.20,   12.82,-99.9,      58,     9.9,     5.2,      55,    0.00,   -17.5,    0.16,      54,      57,    0.28,
2015,2021-01-01,06:00,-99.9,    -9.7,    -9.7,   -11.3,   -10.8,    0.00,     6.5,-99.9,     7.5,    20.7,     4.7,    -2.5,-99.9,     1.1,     4.3,     7.6,     0.3,     1.8,     0.3,     0.7,     0.2,    5.02,    0.91,    5.42,   12.54,    4.28,   12.81,-99.9,      62,     7.8,     5.2,      54,    0.00,   -17.7,    0.15,      54,      58,    0.27,
2015,2021-01-01,07:00,-99.9,   -10.7,    -9.7,   -10.7,   -10.0,    0.00,     6.9,-99.9,     8.4,    21.1,     4.4,    -2.7,-99.9,     0.9,     4.3,     7.6,     0.3,     1.8,     0.3,     0.6,     0.2,    5.18,    0.89,    5.81,   12.77,    4.20,   12.79,-99.9,      62,     8.3,     5.6,      58,    0.28,   -17.3,    0.16,      54,      58,    0.29,
2015,2021-01-01,08:00,-99.9,    -6.8,    -6.8,   -10.7,    -9.7,    0.00,     6.6,-99.9,     8.4,    21.2,     4.7,    -2.8,-99.9,     0.8,     4.3,     7.6,     0.3,     1.8,     0.3,     0.6,     0.2,    5.05,    0.89,    5.82,   12.89,    4.28,   15.00,-99.9,      60,     8.1,     5.6,      45,   54.74,   -17.3,    0.16,      45,      58,    0.29,
2015,2021-01-01,09:00,-99.9,    -0.6,    -0.6,    -6.8,    -4.3,    0.00,     6.5,-99.9,     7.6,    20.5,     4.4,    -2.7,-99.9,     0.7,     4.2,     7.6,     0.3,     1.8,     0.3,     0.7,     0.2,    5.00,    0.88,    5.49,   12.41,    4.20,   15.01,-99.9,      53,     7.4,     4.8,      31,  234.70,   -16.3,    0.17,      31,      45,    0.45,
2015,2021-01-01,10:00,-99.9,     3.0,     3.0,    -0.6,     0.8,    0.00,     5.9,-99.9,     8.4,    20.8,     4.5,    -1.9,-99.9,     0.6,     4.1,     7.6,     0.3,     1.8,     0.3,     0.7,     0.2,    4.76,    0.89,    5.81,   12.59,    4.23,   14.54,-99.9,      21,     9.3,     4.9,      23,  396.30,   -15.7,    0.18,      23,      31,    0.65,
2015,2021-01-01,11:00,-99.9,     3.5,     3.5,     2.8,     2.9,    0.00,     6.7,-99.9,     8.0,    20.8,     4.8,    -0.7,-99.9,     0.5,     4.1,     7.6,     0.3,     1.8,     0.3,     0.7,     0.2,    5.08,    0.91,    5.65,   12.62,    4.32,   14.43,-99.9,     197,    12.1,     7.3,      20,  505.60,   -16.1,    0.18,      20,      24,    0.75,
2015,2021-01-01,12:00,-99.9,     3.2,     4.9,     3.2,     3.8,    0.00,     7.3,-99.9,     8.1,    20.8,     4.5,     0.5,-99.9,     0.6,     4.0,     7.6,     0.3,     0.0,     0.3,     0.7,     0.2,    5.36,   10.56,    5.71,   12.61,    4.23,   14.31,-99.9,     202,    13.1,     7.0,      18,  509.40,   -18.0,    0.15,      16,      20,    0.80,
2015,2021-01-01,13:00,-99.9,     4.0,     4.0,     2.8,     3.3,    0.00,     8.2,-99.9,     7.8,    20.5,     4.4,     1.4,-99.9,     0.7,     4.0,     7.6,     0.3,     0.0,     0.3,     0.7,     0.2,    5.75,   10.69,    5.58,   12.40,    4.19,   14.27,-99.9,     183,    12.1,     7.1,      18,  301.50,   -18.2,    0.15,      18,      20,    0.77,
2015,2021-01-01,14:00,-99.9,     4.0,     5.5,     4.0,     4.7,    0.00,     8.6,-99.9,     7.6,    20.1,     4.4,     2.4,-99.9,     1.0,     3.9,     7.6,     0.3,     0.0,     0.3,     0.7,     0.2,    5.92,   10.92,    5.48,   12.14,    4.19,   14.26,-99.9,     218,    13.6,     6.7,      16,  435.60,   -18.7,    0.14,      16,      18,    0.86,
2015,2021-01-01,15:00,-99.9,     4.2,     5.3,     4.0,     4.6,    0.00,     9.0,-99.9,     8.2,    20.7,     4.5,     3.2,-99.9,     1.4,     3.9,     7.5,     0.3,     0.0,     0.3,     0.7,     0.2,    6.09,   11.25,    5.74,   12.57,    4.23,   14.23,-99.9,     203,    10.9,     6.4,      16,  333.10,   -19.9,    0.13,      14,      16,    0.85,
2015,2021-01-01,16:00,-99.9,     3.2,     4.2,     3.2,     3.7,    0.00,     8.8,-99.9,     7.9,    21.0,     4.4,     3.3,-99.9,     1.8,     3.8,     7.5,     0.3,     0.0,     0.3,     0.7,     0.2,    6.00,   11.45,    5.59,   12.77,    4.19,   14.23,-99.9,     179,     9.6,     5.4,      18,  133.40,   -19.6,    0.13,      16,      18,    0.80,
2015,2021-01-01,17:00,-99.9,     1.4,     3.2,     1.4,     2.7,    0.00,     8.4,-99.9,     8.8,    20.9,     4.8,     3.0,-99.9,     2.2,     3.8,     7.5,     0.3,     0.0,     0.2,     0.7,     0.2,    5.84,   11.51,    5.99,   12.70,    4.32,   13.48,-99.9,     210,     6.1,     2.5,      21,   42.71,   -18.8,    0.14,      18,      21,    0.74,
2015,2021-01-01,18:00,-99.9,    -0.1,     1.4,    -0.3,     0.7,    0.00,     8.1,-99.9,     8.0,    20.1,     4.5,     2.2,-99.9,     2.4,     3.8,     7.5,     0.3,     0.0,     0.3,     0.7,     0.2,    5.69,   11.47,    5.65,   12.16,    4.24,   13.37,-99.9,      41,     2.3,     0.8,      23,    1.09,   -18.7,    0.14,      21,      23,    0.64,
2015,2021-01-01,19:00,-99.9,    -2.8,    -0.1,    -2.9,    -1.4,    0.00,     8.1,-99.9,     8.5,    20.9,     4.4,     1.2,-99.9,     2.5,     3.8,     7.5,     0.3,     0.0,     0.3,     0.7,     0.2,    5.67,   11.33,    5.85,   12.70,    4.20,   13.27,-99.9,      48,     3.9,     2.0,      28,    0.00,   -18.9,    0.14,      23,      28,    0.55,
2015,2021-01-01,20:00,-99.9,    -2.8,    -2.3,    -4.0,    -3.0,    0.00,     7.8,-99.9,     8.9,    21.3,     4.5,     0.4,-99.9,     2.4,     3.9,     7.5,     0.3,     0.0,     0.2,     0.6,     0.2,    5.58,   11.15,    6.05,   12.95,    4.23,   13.18,-99.9,      51,     6.3,     3.0,      27,    0.00,   -18.9,    0.14,      27,      30,    0.49,
2015,2021-01-01,21:00,-99.9,    -5.2,    -2.8,    -5.2,    -4.3,    0.00,     8.0,-99.9,     8.6,    20.9,     4.5,    -0.2,-99.9,     2.2,     3.9,     7.5,     0.3,     0.0,     0.3,     0.7,     0.2,    5.66,   11.01,    5.93,   12.64,    4.24,   13.11,-99.9,      52,     5.3,     4.0,      32,    0.00,   -19.4,    0.13,      27,      32,    0.44,
2015,2021-01-01,22:00,-99.9,    -5.6,    -5.2,    -5.7,    -5.5,    0.00,     7.5,-99.9,     7.7,    21.0,     4.6,    -0.6,-99.9,     2.0,     3.9,     7.5,     0.4,     0.0,     0.3,     0.7,     0.2,    5.45,   10.89,    5.53,   12.73,    4.27,   13.06,-99.9,      61,     6.8,     5.0,      34,    0.00,   -19.3,    0.13,      32,      34,    0.41,
2015,2021-01-01,23:00,-99.9,    -2.6,    -2.6,    -6.7,    -5.8,    0.00,     7.6,-99.9,     8.3,    21.1,     4.5,    -0.6,-99.9,     1.8,     3.9,     7.5,     0.3,     0.0,     0.3,     0.7,     0.2,    5.47,   10.88,    5.78,   12.77,    4.24,   13.00,-99.9,      58,     8.0,     5.1,      28,    0.00,   -19.0,    0.14,      28,      36,    0.40,
2015,2021-01-02,00:00,    0.36,    -5.6,    -2.6,    -6.0,    -5.1,    0.00,     8.1,-99.9,     8.5,    20.5,     4.5,    -0.8,-99.9,     1.7,     3.9,     7.4,     0.3,     0.0,     0.3,     0.7,     0.2,    5.68,   10.85,    5.89,   12.44,    4.24,   12.96,    3.04,      58,     8.3,     5.1,      34,    0.00,   -18.8,    0.14,      28,      35,    0.42,
2015,2021-01-02,01:00,-99.9,    -4.5,    -4.4,    -5.6,    -5.0,    0.00,     7.6,-99.9,     7.9,    20.8,     4.7,    -1.0,-99.9,     1.5,     3.9,     7.4,     0.3,     0.0,     0.3,     0.7,     0.2,    5.45,   10.81,    5.60,   12.63,    4.31,   12.93,-99.9,      60,     7.6,     4.9,      32,    0.00,   -18.8,    0.14,      32,      34,    0.42,
2015,2021-01-02,02:00,-99.9,    -3.9,    -3.9,    -4.5,    -4.3,    0.00,     6.3,-99.9,     8.5,    20.9,     4.6,    -1.2,-99.9,     1.4,     3.9,     7.4,     0.3,     1.7,     0.3,     0.7,     0.2,    4.93,    0.95,    5.86,   12.70,    4.27,   12.89,-99.9,      58,     6.8,     4.6,      31,    0.00,   -18.7,    0.14,      31,      32,    0.44,
2015,2021-01-02,03:00,-99.9,    -2.7,    -2.6,    -4.1,    -3.6,    0.00,     6.5,-99.9,     8.6,    21.0,     4.5,    -1.3,-99.9,     1.3,     3.9,     7.4,     0.3,     0.0,     0.3,     0.7,     0.2,    5.00,   10.71,    5.90,   12.72,    4.23,   12.87,-99.9,      60,     8.4,     4.5,      28,    0.00,   -18.7,    0.14,      28,      31,    0.47,
2015,2021-01-02,04:00,-99.9,    -1.3,    -0.9,    -2.7,    -1.7,    0.00,     6.8,-99.9,     8.2,    21.1,     4.8,    -1.5,-99.9,     1.2,     3.9,     7.4,     0.3,     1.8,     0.3,     0.7,     0.2,    5.14,    0.93,    5.75,   12.77,    4.36,   12.85,-99.9,      62,    12.8,     6.3,      27,    0.00,   -18.5,    0.14,      25,      28,    0.54,
2015,2021-01-02,05:00,-99.9,    -1.6,    -1.3,    -2.0,    -1.8,    0.00,     6.5,-99.9,     7.9,    20.8,     4.8,    -1.6,-99.9,     1.1,     3.8,     7.4,     0.3,     0.0,     0.3,     0.7,     0.2,    5.00,   10.65,    5.58,   12.61,    4.32,   12.85,-99.9,      59,     9.0,     4.9,      27,    0.00,   -17.6,    0.15,      27,      30,    0.54,
2015,2021-01-02,06:00,-99.9,    -1.4,    -1.4,    -2.2,    -1.7,    0.00,     7.0,-99.9,     8.1,    20.9,     4.8,    -1.7,-99.9,     1.0,     3.8,     7.4,     0.3,     1.8,     0.3,     0.7,     0.2,    5.22,    0.93,    5.68,   12.70,    4.32,   12.83,-99.9,      66,    11.1,     6.6,      25,    0.00,   -18.4,    0.14,      25,      28,    0.54,
2015,2021-01-02,07:00,-99.9,    -1.8,    -0.5,    -1.8,    -1.1,    0.00,     6.2,-99.9,     7.7,    20.9,     4.5,    -1.7,-99.9,     0.9,     3.8,     7.4,     0.3,     1.8,     0.3,     0.7,     0.2,    4.90,    0.92,    5.51,   12.67,    4.23,   12.83,-99.9,      73,    14.5,     8.9,      27,    0.24,   -18.6,    0.14,      24,      27,    0.56,
2015,2021-01-02,08:00,-99.9,     0.1,     0.1,    -1.8,    -1.1,    0.00,     7.0,-99.9,     8.2,    20.4,     4.8,    -1.7,-99.9,     0.8,     3.8,     7.4,     0.3,     0.0,     0.3,     0.7,     0.2,    5.21,   10.58,    5.75,   12.34,    4.36,   14.94,-99.9,      65,    14.3,     7.0,      24,   51.62,   -18.4,    0.14,      23,      27,    0.56,
2015,2021-01-02,09:00,-99.9,     3.4,     3.4,     0.1,     1.2,    0.00,     6.8,-99.9,     7.8,    20.1,     4.5,    -1.4,-99.9,     0.8,     3.7,     7.3,     0.3,     0.0,     0.3,     0.7,     0.2,    5.14,   10.58,    5.58,   12.15,    4.22,   14.89,-99.9,      63,    15.6,     9.2,      25,  227.20,   -17.5,    0.16,      23,      25,    0.67,
2015,2021-01-02,10:00,-99.9,     5.0,     5.0,     3.4,     3.9,    0.00,     6.5,-99.9,     7.2,    20.2,     4.5,    -0.8,-99.9,     0.7,     3.7,     7.3,     0.3,     0.0,     0.3,     0.7,     0.2,    5.01,   10.63,    5.32,   12.19,    4.23,   14.42,-99.9,      73,    24.8,    12.2,      31,  387.50,   -13.6,    0.22,      25,      31,    0.80,
