



New Mexico (MST) SCAN Site Willow Wells - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Oct 16 10:30:25 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-12 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),SMS.I-1:-60 (pct)  (loam),SMS.I-1:-80 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-12 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-60 (degC) ,STO.I-1:-80 (degC) ,STO.I-2:-2 (degC) ,STO.I-2:-4 (degC) ,STO.I-2:-8 (degC) ,STO.I-2:-12 (degC) ,STO.I-2:-20 (degC) ,STO.I-2:-40 (degC) ,STO.I-2:-60 (degC) ,STO.I-2:-80 (degC) ,RHUM.I-1 (pct) ,
2108,2016-03-14,,    6.10,     9.6,    24.7,-99.9,-99.9,    0.00,     5.7,     1.0,     7.4,-99.9,    23.4,     4.2,-99.9,-99.9,    13.7,    13.6,    14.0,-99.9,    13.4,    12.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      29,
2108,2016-03-15,,    6.10,    12.1,    25.8,     4.3,    15.7,    0.00,     5.4,     0.7,     7.1,-99.9,    23.0,     3.8,-99.9,-99.9,    14.2,    14.1,    14.1,-99.9,    13.6,    12.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      33,
2108,2016-03-16,,    6.10,     6.7,    21.9,     5.0,    14.5,    0.00,     4.8,     0.7,     6.8,-99.9,    23.1,     3.9,-99.9,-99.9,    13.3,    13.1,    14.1,-99.9,    13.9,    12.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      19,
2108,2016-03-17,,    6.10,     4.8,    23.9,     0.0,    13.3,    0.00,     4.5,     0.9,     6.5,-99.9,    22.9,     3.9,-99.9,-99.9,    14.0,    13.8,    14.2,-99.9,    14.0,    12.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      32,
2108,2016-03-18,,    6.10,     9.8,    23.8,    -0.2,    12.0,    0.00,     4.0,     1.1,     6.5,-99.9,    22.6,     3.8,-99.9,-99.9,    14.5,    14.2,    14.4,-99.9,    14.2,    12.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      41,
2108,2016-03-19,,    6.10,    -0.4,    13.5,    -0.4,     6.7,    0.00,     3.4,     1.2,     6.4,-99.9,    22.6,     3.8,-99.9,-99.9,    12.9,    12.3,    13.3,-99.9,    14.0,    12.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      79,
2108,2016-03-20,,    6.10,     5.4,    12.5,    -5.0,     4.5,    0.00,     2.9,     0.7,     6.2,-99.9,    22.4,     4.1,-99.9,-99.9,    13.4,    12.9,    13.1,-99.9,    13.8,    12.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      42,
2108,2016-03-21,,    6.10,     3.1,    15.2,     2.9,     7.5,    0.00,     2.7,     0.6,     5.7,-99.9,    22.2,     4.6,-99.9,-99.9,    13.0,    12.5,    13.5,-99.9,    13.9,    12.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      54,
2108,2016-03-22,,    6.10,    10.4,    25.6,     2.6,    14.2,    0.00,     2.7,     0.3,     5.6,-99.9,    22.0,     4.2,-99.9,-99.9,    15.2,    15.1,    14.8,-99.9,    14.1,    12.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      45,
2108,2016-03-23,,    6.10,    18.4,    27.2,     8.3,    19.0,    0.00,     2.4,     0.3,     5.7,-99.9,    21.9,     4.2,-99.9,-99.9,    15.5,    15.5,    15.1,-99.9,    14.2,    12.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,      10,
