



New Mexico (MST) SCAN Site Willow Wells - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Oct 16 10:30:36 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,RHUM.I-1 (pct) ,
2108,2021-01-01,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     1.1,     0.0,     1.5,     4.0,     2.7,     1.7,     3.2,     6.1,     8.4,    10.4,-99.9,
2108,2021-01-02,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.5,     0.0,     2.1,     4.1,     1.5,     1.9,     3.7,     6.1,     8.0,    10.2,-99.9,
2108,2021-01-03,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.9,     0.0,     2.3,     4.6,     1.6,     4.9,     5.6,     6.3,     7.8,    10.0,-99.9,
2108,2021-01-04,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.0,     2.2,     4.2,     2.3,     5.3,     6.1,     7.0,     8.0,     9.9,-99.9,
2108,2021-01-05,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.0,     2.1,     4.1,     2.4,     3.9,     5.4,     7.5,     8.3,     9.8,-99.9,
2108,2021-01-06,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.0,     2.0,     4.0,     2.4,     5.4,     6.1,     7.4,     8.2,     9.8,-99.9,
2108,2021-01-07,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.7,     2.1,     4.1,     2.3,     1.2,     3.2,     7.0,     8.3,     9.8,-99.9,
2108,2021-01-08,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.7,     2.2,     4.4,     1.9,     2.1,     3.9,     6.5,     8.0,     9.8,-99.9,
2108,2021-01-09,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.6,     2.0,     4.8,     2.0,     1.1,     2.8,     6.0,     7.8,     9.7,-99.9,
2108,2021-01-10,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.7,     2.1,     4.5,     2.4,     2.2,     2.9,     4.7,     7.3,     9.6,-99.9,
2108,2021-01-11,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.0,     1.8,     4.4,     2.1,     1.6,     2.2,     4.4,     7.0,     9.4,-99.9,
2108,2021-01-12,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.7,     1.8,     4.5,     2.3,     0.5,     1.1,     4.0,     6.7,     9.2,-99.9,
2108,2021-01-13,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.5,-99.9,     4.7,     2.1,     0.5,     1.1,     3.4,     6.3,     9.0,-99.9,
2108,2021-01-14,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.0,-99.9,     3.9,     1.8,     4.6,     4.2,     4.4,     6.1,     8.7,-99.9,
2108,2021-01-15,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.4,     2.0,     4.2,     2.1,     1.9,     2.5,     5.3,     6.7,     8.6,-99.9,
2108,2021-01-16,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.3,     1.9,     4.6,     2.3,     0.9,     1.5,     4.3,     6.4,     8.5,-99.9,
2108,2021-01-17,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.4,-99.9,     4.3,     2.1,     0.6,     1.1,     3.6,     6.0,     8.4,-99.9,
2108,2021-01-18,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.4,     2.1,     4.4,     2.2,     1.5,     2.2,     4.3,     5.9,     8.2,-99.9,
2108,2021-01-19,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.0,     1.9,     4.4,     2.1,     4.9,     5.2,     5.5,     6.1,     8.1,-99.9,
2108,2021-01-20,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.4,     1.8,     4.1,     1.8,     3.9,     4.1,     4.9,     6.3,     8.1,-99.9,
2108,2021-01-21,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.4,     2.1,     4.3,     2.5,     5.5,     5.6,     5.9,     6.5,     8.1,-99.9,
2108,2021-01-22,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.6,     2.3,     4.2,     1.8,     5.8,     6.4,     7.6,     7.2,     8.1,-99.9,
2108,2021-01-23,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.6,     2.2,     4.4,     2.3,     6.7,     7.1,     7.8,     7.5,     8.2,-99.9,
2108,2021-01-24,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.9,     2.4,     4.5,     2.0,     6.9,     7.5,     8.8,     8.1,     8.4,-99.9,
2108,2021-01-25,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.2,     2.1,     4.9,     2.6,     7.3,     7.8,     8.5,     8.1,     8.6,-99.9,
2108,2021-01-26,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.2,     2.4,     4.3,     2.5,     3.0,     4.1,     6.9,     8.0,     8.8,-99.9,
2108,2021-01-27,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.2,     2.3,     4.6,     2.2,     1.3,     2.4,     5.8,     7.5,     8.8,-99.9,
2108,2021-01-28,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.4,     2.2,     4.4,     1.9,     1.8,     2.7,     5.2,     7.0,     8.7,-99.9,
2108,2021-01-29,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.1,     2.2,     4.9,     2.5,     2.6,     3.4,     5.5,     6.8,     8.6,-99.9,
2108,2021-01-30,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.7,     2.4,     2.1,     4.7,     2.3,     5.7,     6.0,     6.3,     6.8,     8.5,-99.9,
2108,2021-01-31,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.2,     1.7,     4.4,     2.6,     4.8,     5.6,     7.0,     7.2,     8.4,-99.9,
2108,2021-02-01,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.1,     2.6,     4.0,     2.2,     4.1,     5.1,     7.0,     7.3,     8.4,-99.9,
2108,2021-02-02,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.6,     1.8,     4.5,     2.1,     7.2,     7.6,     7.6,     7.4,     8.5,-99.9,
2108,2021-02-03,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.0,     2.5,     4.5,     1.8,     8.8,     9.2,     9.2,     8.1,     8.5,-99.9,
2108,2021-02-04,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.7,     2.2,     2.4,     5.0,     1.7,    10.3,    10.7,    10.5,     8.8,     8.7,-99.9,
2108,2021-02-05,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.0,     1.3,     2.2,     4.9,     2.2,     9.2,     9.6,     9.9,     9.2,     9.0,-99.9,
2108,2021-02-06,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.3,     2.5,     4.4,     2.1,     6.0,     7.0,     8.8,     9.1,     9.3,-99.9,
2108,2021-02-07,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.9,     2.3,     5.0,     2.5,     6.2,     7.1,     8.5,     8.9,     9.4,-99.9,
2108,2021-02-08,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.5,     2.6,     4.3,     1.9,     6.5,     7.7,     9.0,     9.0,     9.4,-99.9,
2108,2021-02-09,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.8,     2.3,     4.8,     2.6,     7.5,     8.5,     9.6,     9.2,     9.5,-99.9,
2108,2021-02-10,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.5,     2.5,     4.2,     2.4,     8.7,     9.8,    10.2,     9.4,     9.6,-99.9,
2108,2021-02-11,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     1.1,     2.1,     4.4,     2.4,     7.1,     8.0,     9.7,     9.6,     9.7,-99.9,
2108,2021-02-12,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.3,     2.7,     4.2,     2.0,     7.0,     7.7,     9.0,     9.5,     9.8,-99.9,
2108,2021-02-13,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     2.0,     0.8,     2.2,     4.9,     2.2,     1.6,     2.5,     5.4,     8.6,     9.9,-99.9,
2108,2021-02-14,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.4,     2.0,     4.6,     2.4,    -0.4,     0.6,     3.8,     7.6,     9.7,-99.9,
2108,2021-02-15,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.0,     1.8,     4.0,     2.0,    -0.6,     0.4,     2.6,     6.5,     9.4,-99.9,
2108,2021-02-16,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     0.3,     1.9,     4.3,     2.0,    -2.9,    -0.7,     2.5,     5.8,     8.9,-99.9,
2108,2021-02-17,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.6,     1.5,-99.9,     4.6,     2.2,     0.5,     0.8,     2.3,     5.2,     8.5,-99.9,
2108,2021-02-18,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.8,     1.7,     4.6,     2.4,     0.9,     1.2,     2.8,     5.2,     8.1,-99.9,
2108,2021-02-19,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.2,     1.6,     3.7,     2.3,    -0.4,     0.4,     2.0,     4.9,     7.8,-99.9,
2108,2021-02-20,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.9,-99.9,     4.2,     2.4,     1.6,     1.9,     2.7,     4.8,     7.5,-99.9,
2108,2021-02-21,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.3,     1.8,     4.1,     2.1,     7.8,     7.9,     6.9,     5.7,     7.3,-99.9,
2108,2021-02-22,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.7,     2.3,     4.6,     1.9,     4.7,     5.4,     7.3,     6.8,     7.4,-99.9,
2108,2021-02-23,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.2,     2.1,     3.9,     2.4,     6.5,     7.1,     7.9,     7.0,     7.6,-99.9,
2108,2021-02-24,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.8,     2.4,     4.2,     2.1,     7.4,     8.1,     9.2,     7.7,     7.8,-99.9,
2108,2021-02-25,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.7,     2.5,     4.1,     2.0,     8.3,     8.9,     9.4,     8.1,     8.0,-99.9,
2108,2021-02-26,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.5,     2.4,     4.2,     2.4,     4.3,     5.0,     7.3,     8.0,     8.3,-99.9,
2108,2021-02-27,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.9,     2.1,     4.8,     2.0,     5.4,     6.3,     7.9,     7.8,     8.4,-99.9,
2108,2021-02-28,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.5,     2.3,     4.4,     1.8,     9.1,     9.5,     9.3,     8.1,     8.5,-99.9,
2108,2021-03-01,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     3.0,     2.2,     4.9,     2.0,     7.9,     8.4,     9.2,     8.5,     8.6,-99.9,
2108,2021-03-02,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.0,     2.4,     4.9,     2.6,     6.1,     7.1,     9.0,     8.9,     8.8,-99.9,
2108,2021-03-03,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.6,     2.2,     4.4,     2.1,     6.3,     7.3,     8.7,     8.7,     8.9,-99.9,
2108,2021-03-04,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.6,     2.4,     4.4,     2.0,     9.7,    10.2,     9.9,     8.9,     9.0,-99.9,
2108,2021-03-05,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.3,     2.8,     2.5,     5.0,     2.8,    11.0,    11.7,    11.6,     9.8,     9.2,-99.9,
2108,2021-03-06,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.2,     2.6,     2.3,     4.2,     2.1,     6.1,     7.3,     9.5,     9.8,     9.5,-99.9,
2108,2021-03-07,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.0,     2.4,     2.5,     4.4,     2.9,     8.2,     9.3,    10.5,     9.7,     9.6,-99.9,
2108,2021-03-08,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.2,     2.0,     2.6,     4.9,     1.9,    11.0,    11.7,    11.7,    10.0,     9.7,-99.9,
2108,2021-03-09,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.2,     1.6,     3.0,     5.0,     2.1,    13.2,    13.9,    13.3,    10.8,     9.9,-99.9,
2108,2021-03-10,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.9,     2.3,     2.7,     5.0,     2.1,    13.3,    13.7,    13.4,    11.3,    10.2,-99.9,
2108,2021-03-11,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.4,     1.1,     3.0,     5.3,     2.5,    12.4,    13.2,    14.0,    11.9,    10.5,-99.9,
2108,2021-03-12,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.5,     0.6,     2.8,     4.6,     2.0,    15.4,    15.7,    14.7,    12.2,    10.9,-99.9,
2108,2021-03-13,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.0,     0.7,     2.6,     5.2,     2.6,    15.1,    15.1,    14.5,    12.6,    11.2,-99.9,
2108,2021-03-14,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     3.3,     0.5,     2.9,     5.5,     2.6,    11.4,    12.7,    14.7,    13.2,    11.5,-99.9,
2108,2021-03-15,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     3.7,     1.0,     3.0,     4.9,     2.5,    10.1,    11.4,    13.0,    12.6,    11.8,-99.9,
2108,2021-03-16,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     2.5,     0.9,     2.9,     4.5,     2.6,    13.1,    13.5,    13.6,    12.5,    11.9,-99.9,
2108,2021-03-17,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     3.0,     0.0,     2.5,     4.6,     2.5,    11.9,    13.3,    14.6,    12.9,    12.0,-99.9,
2108,2021-03-18,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     2.6,     0.0,     2.7,     4.6,     2.2,    10.4,    12.0,    13.5,    12.9,    12.2,-99.9,
2108,2021-03-19,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     1.6,     0.0,     2.7,     5.0,     2.9,    10.7,    12.3,    13.7,    12.8,    12.3,-99.9,
2108,2021-03-20,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     2.3,     0.0,     2.9,     5.4,     2.2,    11.7,    13.2,    14.0,    12.9,    12.3,-99.9,
2108,2021-03-21,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     1.8,     0.0,     2.5,     5.0,     2.5,    13.7,    14.9,    15.0,    13.2,    12.4,-99.9,
2108,2021-03-22,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     0.9,     0.2,     2.6,     5.3,     2.4,    14.7,    15.0,    14.7,    13.4,    12.6,-99.9,
2108,2021-03-23,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     7.3,     1.8,     2.8,     5.7,     2.7,     5.4,     6.6,    12.0,    13.4,    12.8,-99.9,
2108,2021-03-24,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     7.4,     2.6,     2.9,     5.0,     2.7,    11.9,    11.7,    12.8,    12.7,    12.8,-99.9,
2108,2021-03-25,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     6.4,     2.1,     2.4,     4.7,     1.9,     5.4,     6.2,    10.2,    12.3,    12.7,-99.9,
2108,2021-03-26,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     6.7,     3.2,     2.9,     5.4,     2.2,    11.6,    11.8,    12.0,    11.9,    12.5,-99.9,
2108,2021-03-27,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     6.4,     2.8,     2.9,     4.8,     2.2,    13.1,    13.5,    13.9,    12.5,    12.4,-99.9,
2108,2021-03-28,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.4,     2.4,     2.4,     5.2,     2.7,    11.7,    12.6,    14.3,    13.1,    12.5,-99.9,
2108,2021-03-29,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     6.5,     3.3,     2.8,     5.3,     2.8,    13.3,    14.0,    15.0,    13.3,    12.6,-99.9,
2108,2021-03-30,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.5,     3.1,     3.4,     5.5,     2.5,    15.7,    16.3,    16.4,    13.9,    12.8,-99.9,
2108,2021-03-31,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.8,     2.1,     3.5,     5.2,     2.8,    14.6,    15.6,    16.5,    14.5,    13.1,-99.9,
2108,2021-04-01,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.2,     2.7,     3.3,     5.5,     3.0,    12.5,    13.7,    15.4,    14.5,    13.4,-99.9,
2108,2021-04-02,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     5.6,     2.1,     3.0,     5.7,     2.7,    13.2,    14.3,    15.5,    14.4,    13.5,-99.9,
2108,2021-04-03,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     3.4,     1.8,     2.8,     5.2,     3.0,    16.1,    16.9,    17.0,    14.7,    13.7,-99.9,
2108,2021-04-04,,-99.9,-99.9,-99.9,-99.9,-99.9,   0.000,     4.6,     1.4,     2.6,     5.5,     2.6,    15.6,    16.5,    17.1,    15.1,    13.9,-99.9,
